Threshold,FPR,TPR,Specificity,Youden_Index
inf,0.0,0.0,1.0,0.0
0.8845574494787712,0.0,0.002688172043010753,1.0,0.002688172043010753
0.8369052499481096,0.0,0.024193548387096774,1.0,0.024193548387096774
0.8307214359572097,0.0009689922480620155,0.024193548387096774,0.999031007751938,0.023224556139034756
0.8170157418680567,0.0009689922480620155,0.0456989247311828,0.999031007751938,0.04472993248312078
0.8153717371714146,0.001937984496124031,0.0456989247311828,0.998062015503876,0.04376094023505876
0.8143219625818906,0.001937984496124031,0.04838709677419355,0.998062015503876,0.04644911227806951
0.8103592297344918,0.0029069767441860465,0.04838709677419355,0.997093023255814,0.0454801200300075
0.8023036972423185,0.0029069767441860465,0.051075268817204304,0.997093023255814,0.04816829207301826
0.8022571248190189,0.003875968992248062,0.051075268817204304,0.9961240310077519,0.04719929982495624
0.7998479720262679,0.003875968992248062,0.056451612903225805,0.9961240310077519,0.05257564391097774
0.7977037703834537,0.0048449612403100775,0.056451612903225805,0.9951550387596899,0.051606651662915726
0.7945423036906278,0.0048449612403100775,0.06451612903225806,0.9951550387596899,0.059671167791947984
0.7889792775000304,0.005813953488372093,0.06451612903225806,0.9941860465116279,0.05870217554388597
0.7883322192011797,0.005813953488372093,0.06720430107526881,0.9941860465116279,0.061390347586896724
0.7882507640188056,0.006782945736434108,0.06720430107526881,0.9932170542635659,0.060421355338834706
0.786966444059279,0.006782945736434108,0.06989247311827956,0.9932170542635659,0.06310952738184546
0.7868842779095282,0.007751937984496124,0.06989247311827956,0.9922480620155039,0.06214053513378344
0.7849018185734947,0.007751937984496124,0.07795698924731183,0.9922480620155039,0.0702050512628157
0.7843104802365828,0.00872093023255814,0.07795698924731183,0.9912790697674418,0.06923605901475369
0.780099988359608,0.00872093023255814,0.08333333333333333,0.9912790697674418,0.07461240310077519
0.779411348759543,0.009689922480620155,0.08333333333333333,0.9903100775193798,0.07364341085271317
0.7778757916354281,0.009689922480620155,0.08602150537634409,0.9903100775193798,0.07633158289572393
0.7716538317194894,0.011627906976744186,0.08602150537634409,0.9883720930232558,0.07439359839959991
0.7624929181820482,0.011627906976744186,0.10215053763440861,0.9883720930232558,0.09052263065766442
0.7615777832564276,0.012596899224806201,0.10215053763440861,0.9874031007751938,0.08955363840960241
0.7584318610533901,0.012596899224806201,0.10752688172043011,0.9874031007751938,0.09492998249562391
0.7582397879294487,0.013565891472868217,0.10752688172043011,0.9864341085271318,0.0939609902475619
0.7492170962468552,0.013565891472868217,0.12365591397849462,0.9864341085271318,0.11009002250562641
0.7470564033576867,0.015503875968992248,0.12365591397849462,0.9844961240310077,0.10815203800950238
0.7446972623855577,0.015503875968992248,0.13440860215053763,0.9844961240310077,0.11890472618154538
0.7414188416420928,0.018410852713178296,0.13440860215053763,0.9815891472868217,0.11599774943735933
0.7373216894680064,0.018410852713178296,0.13978494623655913,0.9815891472868217,0.12137409352338083
0.7355785887290084,0.01937984496124031,0.13978494623655913,0.9806201550387597,0.12040510127531881
0.7352137284473724,0.01937984496124031,0.14516129032258066,0.9806201550387597,0.12578144536134034
0.7334246428019723,0.02131782945736434,0.14516129032258066,0.9786821705426356,0.12384346086521632
0.7328750880999199,0.02131782945736434,0.1478494623655914,0.9786821705426356,0.12653163290822705
0.730038021133828,0.02422480620155039,0.1478494623655914,0.9757751937984496,0.12362465616404102
0.7275257903953649,0.02422480620155039,0.15053763440860216,0.9757751937984496,0.12631282820705175
0.7264676822233312,0.025193798449612403,0.15053763440860216,0.9748062015503876,0.12534383595898976
0.723017634624038,0.025193798449612403,0.1586021505376344,0.9748062015503876,0.13340835208802201
0.7218269841535504,0.02616279069767442,0.1586021505376344,0.9738372093023255,0.13243935983996
0.7216504758622531,0.02616279069767442,0.16129032258064516,0.9738372093023255,0.13512753188297075
0.7213036417899795,0.027131782945736434,0.16129032258064516,0.9728682170542635,0.13415853963490873
0.7143141848254094,0.027131782945736434,0.17473118279569894,0.9728682170542635,0.1475993998499625
0.7120074743747556,0.02810077519379845,0.17473118279569894,0.9718992248062015,0.1466304076019005
0.6984756862427082,0.02810077519379845,0.1989247311827957,0.9718992248062015,0.17082395598899724
0.6962128171372997,0.029069767441860465,0.1989247311827957,0.9709302325581395,0.16985496374093523
0.6961802714597166,0.029069767441860465,0.20161290322580644,0.9709302325581395,0.17254313578394598
0.694494745245307,0.030038759689922482,0.20161290322580644,0.9699612403100775,0.17157414353588396
0.6905076844132337,0.030038759689922482,0.20698924731182797,0.9699612403100775,0.1769504876219055
0.6902719327808459,0.031007751937984496,0.20698924731182797,0.9689922480620154,0.17598149537384347
0.6888748737322767,0.031007751937984496,0.21505376344086022,0.9689922480620154,0.18404601150287572
0.687499781459431,0.03197674418604651,0.21505376344086022,0.9680232558139534,0.1830770192548137
0.6842302386797804,0.03197674418604651,0.23118279569892472,0.9680232558139534,0.1992060515128782
0.683517843455395,0.03294573643410853,0.23118279569892472,0.9670542635658914,0.1982370592648162
0.6827599142395236,0.03294573643410853,0.23387096774193547,0.9670542635658914,0.20092523130782694
0.6818196444749551,0.03391472868217054,0.23387096774193547,0.9660852713178295,0.19995623905976492
0.6816180390587893,0.03391472868217054,0.23655913978494625,0.9660852713178295,0.2026444111027757
0.6756920630302515,0.03682170542635659,0.23655913978494625,0.9631782945736435,0.19973743435858965
0.6740101239436047,0.03682170542635659,0.239247311827957,0.9631782945736435,0.2024256064016004
0.6732564936982662,0.0377906976744186,0.239247311827957,0.9622093023255814,0.20145661415353838
0.6711188833720693,0.0377906976744186,0.24731182795698925,0.9622093023255814,0.20952113028257063
0.6689783531070049,0.03972868217054264,0.24731182795698925,0.9602713178294574,0.2075831457864466
0.6682428400297823,0.03972868217054264,0.25,0.9602713178294574,0.21027131782945735
0.6625786912448506,0.0436046511627907,0.25,0.9563953488372093,0.2063953488372093
0.6612756666374386,0.0436046511627907,0.25806451612903225,0.9563953488372093,0.21445986496624156
0.6596588593515141,0.044573643410852716,0.25806451612903225,0.9554263565891473,0.21349087271817954
0.6577465243811186,0.044573643410852716,0.2661290322580645,0.9554263565891473,0.2215553888472118
0.655465036002861,0.045542635658914726,0.2661290322580645,0.9544573643410853,0.22058639659914978
0.6540216456119798,0.045542635658914726,0.271505376344086,0.9544573643410853,0.22596274068517128
0.6495844461639134,0.046511627906976744,0.271505376344086,0.9534883720930233,0.22499374843710926
0.6489319195875564,0.046511627906976744,0.27419354838709675,0.9534883720930233,0.22768192048012
0.6480405577872252,0.04748062015503876,0.27419354838709675,0.9525193798449613,0.226712928232058
0.645707617162316,0.04748062015503876,0.27956989247311825,0.9525193798449613,0.2320892723180795
0.6352536782942674,0.050387596899224806,0.27956989247311825,0.9496124031007752,0.22918229557389344
0.6339512155206712,0.050387596899224806,0.2849462365591398,0.9496124031007752,0.234558639659915
0.6327834208627308,0.05135658914728682,0.2849462365591398,0.9486434108527132,0.23358964741185298
0.6294085272760976,0.05135658914728682,0.2956989247311828,0.9486434108527132,0.24434233558389598
0.6287559381248514,0.05232558139534884,0.2956989247311828,0.9476744186046512,0.24337334333583396
0.6208053566292719,0.05232558139534884,0.3333333333333333,0.9476744186046512,0.2810077519379845
0.6177188459447457,0.05426356589147287,0.3333333333333333,0.9457364341085271,0.27906976744186046
0.6154416715410168,0.05426356589147287,0.34139784946236557,0.9457364341085271,0.2871342835708927
0.615311123770918,0.055232558139534885,0.34139784946236557,0.9447674418604651,0.2861652913228307
0.6148580104427612,0.055232558139534885,0.34408602150537637,0.9447674418604651,0.2888534633658415
0.614694233038302,0.0562015503875969,0.34408602150537637,0.9437984496124031,0.2878844711177795
0.6120963164054343,0.0562015503875969,0.3521505376344086,0.9437984496124031,0.29594898724681173
0.6118415318473794,0.05717054263565891,0.3521505376344086,0.9428294573643411,0.2949799949987497
0.6115759156310607,0.05717054263565891,0.3548387096774194,0.9428294573643411,0.29766816704176047
0.6109038827229591,0.05813953488372093,0.3548387096774194,0.9418604651162791,0.29669917479369845
0.610700852035593,0.05813953488372093,0.3602150537634409,0.9418604651162791,0.30207551887971995
0.610203443400524,0.05910852713178295,0.3602150537634409,0.9408914728682171,0.30110652663165793
0.6079176985382704,0.05910852713178295,0.3655913978494624,0.9408914728682171,0.30648287071767943
0.6043631401539958,0.06201550387596899,0.3655913978494624,0.937984496124031,0.3035758939734934
0.6000035548863407,0.06201550387596899,0.3763440860215054,0.937984496124031,0.3143285821455364
0.5986275288421294,0.06395348837209303,0.3763440860215054,0.936046511627907,0.31239059764941235
0.598352519725234,0.06395348837209303,0.3817204301075269,0.936046511627907,0.31776694173543385
0.5972391250533274,0.06492248062015504,0.3817204301075269,0.935077519379845,0.31679794948737183
0.5925136857505062,0.06492248062015504,0.3924731182795699,0.935077519379845,0.32755063765941483
0.5874856682167757,0.06686046511627906,0.3924731182795699,0.9331395348837209,0.3256126531632908
0.5767458052199071,0.06686046511627906,0.4220430107526882,0.9331395348837209,0.3551825456364091
0.5746874525473048,0.06782945736434108,0.4220430107526882,0.9321705426356589,0.3542135533883471
0.5741009745089449,0.06782945736434108,0.43010752688172044,0.9321705426356589,0.36227806951737934
0.5731775158974444,0.0687984496124031,0.43010752688172044,0.9312015503875969,0.3613090772693173
0.5690674783231882,0.0687984496124031,0.44086021505376344,0.9312015503875969,0.3720617654413603
0.5682610839140387,0.06976744186046512,0.44086021505376344,0.9302325581395349,0.3710927731932983
0.5664070023096787,0.06976744186046512,0.4435483870967742,0.9302325581395349,0.37378094523630906
0.5646903116773206,0.07364341085271318,0.4435483870967742,0.9263565891472868,0.369904976244061
0.5644583533097265,0.07364341085271318,0.44623655913978494,0.9263565891472868,0.37259314828707174
0.5640249946840743,0.07461240310077519,0.44623655913978494,0.9253875968992248,0.3716241560390098
0.559379816986645,0.07461240310077519,0.4596774193548387,0.9253875968992248,0.38506501625406353
0.5593570380049487,0.0755813953488372,0.4596774193548387,0.9244186046511628,0.3840960240060015
0.5572831173307449,0.0755813953488372,0.4650537634408602,0.9244186046511628,0.389472368092023
0.5562192520676632,0.07655038759689922,0.4650537634408602,0.9234496124031008,0.388503375843961
0.5431841283594953,0.07655038759689922,0.48118279569892475,0.9234496124031008,0.4046324081020255
0.5396220503621416,0.08042635658914729,0.48118279569892475,0.9195736434108527,0.40075643910977743
0.5358794555808503,0.08042635658914729,0.4838709677419355,0.9195736434108527,0.4034446111527882
0.5347776490627628,0.08139534883720931,0.4838709677419355,0.9186046511627907,0.40247561890472616
0.5342119560527625,0.08139534883720931,0.48655913978494625,0.9186046511627907,0.4051637909477369
0.526311779936449,0.08527131782945736,0.48655913978494625,0.9147286821705426,0.4012878219554889
0.5258058677937513,0.08527131782945736,0.489247311827957,0.9147286821705426,0.40397599399849965
0.5218094146772116,0.08817829457364341,0.489247311827957,0.9118217054263565,0.4010690172543136
0.5198873697413655,0.08817829457364341,0.49731182795698925,0.9118217054263565,0.40913353338334585
0.5172731496066502,0.09011627906976744,0.49731182795698925,0.9098837209302326,0.4071955488872218
0.5167659294994082,0.09011627906976744,0.5,0.9098837209302326,0.40988372093023256
0.5157209067872857,0.09108527131782945,0.5,0.9089147286821706,0.40891472868217055
0.513945497352958,0.09108527131782945,0.5026881720430108,0.9089147286821706,0.4116029007251813
0.5117827115490965,0.09302325581395349,0.5026881720430108,0.9069767441860466,0.40966491622905726
0.5108749521197189,0.09302325581395349,0.5053763440860215,0.9069767441860466,0.412353088272068
0.506498673163616,0.09496124031007752,0.5053763440860215,0.9050387596899225,0.410415103775944
0.5064170273549414,0.09496124031007752,0.5080645161290323,0.9050387596899225,0.41310327581895473
0.5049942736080156,0.09593023255813954,0.5080645161290323,0.9040697674418605,0.4121342835708927
